题目ID,文件名称,相对文件路径,年份,试卷类型,试卷名称,原卷题号,知识板块,标签,包含TikZ绘图,题型,难度星级,包含解析,组卷引用次数,备注,初次录入的时间,最后修改时间,题干,答案,解析
570,2025-M-2025年Fiddie联盟模拟测试-7-立体几何,立体几何\2025\2025-M-2025年Fiddie联盟模拟测试-7-立体几何.tex,2025,M,2025年Fiddie联盟模拟测试,7,立体几何,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"正四面体的四个顶点到平面 $\alpha$ 的距离相等，这样的平面 $\alpha$ 共有 (\hspace{1cm})
\begin{choices}
\choice{{$7$}}
\choice{{$6$}}
\choice{{$4$}}
\choice{{$3$}}
\end{choices}",,
575,2025-M-Fiddie联盟模拟测试-13-导数,导数\2025\2025-M-Fiddie联盟模拟测试-13-导数.tex,2025,M,Fiddie联盟模拟测试,13,导数,,否,填空题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设函数 $ f(x)=a\sin x+\sin 2x+\sin 3x $.已知曲线 $ y=f(x) $ 在点 $ (x_0,f(x_0)) $ 处的切线方程为 $ y=x+\pi $，则曲线 $ y=f(x) $ 在点 $ (2\pi-x_0,f(2\pi-x_0)) $ 处的切线方程为\underline{\hspace{4em}}.",,
583,2023-M-2023年高考模拟试题(Fiddie卷)-18-解三角形,解三角形\2023\2023-M-2023年高考模拟试题(Fiddie卷)-18-解三角形.tex,2023,M,2023年高考模拟试题(Fiddie卷),18,解三角形,,否,解答题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"十字测天仪广泛应用于欧洲中世纪晚期的航海领域，主要用于测量太阳等星体的方位，便于船员确定位置。如图1所示，十字测天仪由杆 $ AB $ 和横档 $ CD $ 构成，并且 $ E $ 是 $ CD $ 的中点，横档与杆垂直且可在杆上滑动。十字测天仪的使用方法如下：如图2，手持十字测天仪，使得眼睛可以从 $ A $ 点观察。滑动横档 $ CD $ 使得 $ A $、$ C $ 在同一水平面上，并且眼睛恰好能观察到太阳，此时视线恰好经过点 $ D $，$ DE $ 的影子恰好是 $ AE $.然后，通过测量 $ AE $ 的长度，可计算出视线和水平面的夹角 $ \angle CAD $（称为太阳高度角），最后通过查阅地图来确定船员所在的位置。

（1）在某次测量中，$ AE = 40 $，横档的长度为 $ 20 $，求太阳高度角的正弦值。

（2）在杆 $ AB $ 上有两点 $ A_1 $、$ A_2 $ 满足 $ AA_1 = \dfrac{1}{2}AA_2 $.当横档 $ CD $ 的中点 $ E $ 位于 $ A_i $ 时，记太阳高度角为 $ \alpha_i $（$ i = 1,2 $），其中 $ \alpha_1 $、$ \alpha_2 $ 都是锐角。证明：$ \alpha_1 < 2\alpha_2 $.",,
584,2024-M-2024届Fiddie学派第一次模拟考试-13-数论,数论\2024\2024-M-2024届Fiddie学派第一次模拟考试-13-数论.tex,2024,M,2024届Fiddie学派第一次模拟考试,13,数论,,否,填空题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"1995年，安德鲁·怀尔斯成功证明了费马大定理：当整数 $ n>2 $ 时，方程 $ a^n+b^n=c^n $ 没有正整数解．而早在18世纪，数学家欧拉就证明了费马大定理中 $ n=3 $ 的情形．某同学想寻找 $ n=3 $ 情形的简单证明，即证 “方程 $ a^3+b^3=c^3 $ 没有正整数解”．他的证明过程如下：

若存在正整数 $ a,b,c $ 使得 $ a^3+b^3=c^3 $，  
则 $ a^3=c^3-b^3 $， \hfill \circled{1}  
所以 $ a^3=(c-b)(c^2+cb+b^2) $． \hfill \circled{2}  
因为 $ a\leq c^2 $ 并且 $ c-b\leq c^2+cb+b^2 $，所以 $ a=c-b $ 并且 $ a^2=c^2+cb+b^2 $． \hfill \circled{3}  
消掉 $ a $，可得 $ (c-b)^2=c^2+cb+b^2 $． \hfill \circled{4}  
于是 $ c^2-2cb+b^2=c^2+cb+b^2 $． \hfill \circled{5}  
所以 $ 3cb=0 $，从而 $ b=0 $ 或 $ c=0 $，这与 $ b,c $ 都是正整数矛盾． \hfill \circled{6}  

综上，方程 $ a^3+b^3=c^3 $ 没有正整数解．

该名同学的证明过程 \underline{\hspace{4em}} （填 “正确” 或 “错误”），如果你认为证明过程错误，首个错误步骤的序号是 \underline{\hspace{4em}} （如果第一个空填了 “正确”，无需作答第二个空）．",错误；\circled{3},"步骤 \circled{3} 中，“因为 $ a\leq c^2 $ 并且 $ c-b\leq c^2+cb+b^2 $，所以 $ a=c-b $ 并且 $ a^2=c^2+cb+b^2 $” 是错误的．  
由 $ a^3=(c-b)(c^2+cb+b^2) $ 不能直接推出两个因子分别等于 $ a $ 和 $ a^2 $，除非已知 $ c-b $ 与 $ c^2+cb+b^2 $ 互素，但此处未证明该条件成立．事实上，$ \gcd(c-b, c^2+cb+b^2) $ 可能为 $ 1 $ 或 $ 3 $，需分情况讨论，不能直接断言两因子分别为 $ a $ 和 $ a^2 $．"
612,2021-M-全国乙卷（文）改-3-命题与逻辑,命题与逻辑\2021\2021-M-全国乙卷（文）改-3-命题与逻辑.tex,2021,M,全国乙卷（文）改,3,命题与逻辑,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知命题 $ p $：$ \exists x\in\mathbb{R} $，$ \sin x<1 $；命题 $ q $：$ \forall x\in\mathbb{R} $，$ \mathrm{e}^{|x|}\geq 1 $．则
\begin{choices}
\choice{{ $ p $，$ q $ 都是真命题}}
\choice{{ $ p $ 是假命题，$ q $ 是真命题}}
\choice{{ $ p $ 是真命题，$ q $ 是假命题}}
\choice{{ $ p $，$ q $ 都是假命题}}
\end{choices}",A,
758,2021-M-八省联考-10-复数,复数\2021\2021-M-八省联考-10-复数.tex,2021,M,八省联考,10,复数,,否,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设 $ z_1 $，$ z_2 $，$ z_3 $ 为复数，$ z_1 \neq 0 $，下列命题中正确的是 (\hspace{1cm})
\begin{choices}
\choice{{若 $ |z_2| = |z_3| $，则 $ z_2 = \pm z_3 $}}
\choice{{若 $ z_1 z_2 = z_1 z_3 $，则 $ z_2 = z_3 $}}
\choice{{若 $ \overline{z_2} = z_3 $，则 $ |z_1 z_2| = |z_1 z_3| $}}
\choice{{若 $ z_1 z_2 = |z_1|^2 $，则 $ z_1 = z_2 $}}
\end{choices}",BC,"A 错误，例如 $ z_2 = \mathrm{i} $，$ z_3 = 1 $，满足 $ |z_2| = |z_3| $ 但 $ z_2 \neq \pm z_3 $.  

B 正确，因为 $ z_1 z_2 = z_1 z_3 $，所以 $ z_1 (z_2 - z_3) = 0 $，根据 $ z_1 \neq 0 $ 得 $ z_2 = z_3 $.  

C 正确，因为 $ \overline{z_2} = z_3 $，所以 $ |z_2| = |z_3| $，所以 $ |z_1 z_2| = |z_1| \cdot |z_2| = |z_1| \cdot |z_3| = |z_1 z_3| $.  

D 错误，若 $ z_1 z_2 = |z_1|^2 $，则 $ z_1 z_2 = z_1 \overline{z_1} $，故 $ z_1 (z_2 - \overline{z_1}) = 0 $，根据 B 选项可得 $ z_2 = \overline{z_1} $."
797,2024-XK-山东冬季学考-14-统计,统计\2024\2024-XK-山东冬季学考-14-统计.tex,2024,XK,山东冬季学考,14,统计,,否,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"山东省某市某年 $9$ 月第二周的日最高气温（单位：$^\circ\text{C}$）分别为 $25$，$28$，$30$，$29$，$31$，$32$，$28$，则这周的日最高气温的 $75\%$ 分位数为 (\hspace{1cm})
\begin{choices}
\choice{{$28$}}
\choice{{$29$}}
\choice{{$31$}}
\choice{{$32$}}
\end{choices}",$31$,因为 $75\%\times 7=5.25$，而大于 $5.25$ 的最小整数是 $6$，所以样本数据的 $75\%$ 分位数取为从小到大排列的第 $6$ 个数据，为 $31$.
800,2023-M-2023年Fiddie模拟预测卷-11-统计,统计\2023\2023-M-2023年Fiddie模拟预测卷-11-统计.tex,2023,M,2023年Fiddie模拟预测卷,11,统计,,否,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"投掷一枚均匀的骰子 8 次，记录每次骰子出现的点数．根据统计结果，可以判断一定出现点数 6 的是 (\hspace{1cm})
\begin{choices}
\choice{{第 25 百分位数为 2，极差为 4}}
\choice{{平均数为 3.5，第 75 百分位数为 3.5}}
\choice{{平均数为 3，方差为 3}}
\choice{{众数为 4，平均数为 4.75}}
\end{choices}",B D,"提示：本题最快的做法是排除法，严格证明 BD 选项需用一些简单的不等式估计．  
设点数从小到大排列为 $ x_1,\dots,x_8 $．第 25 百分位数是 $ \displaystyle\frac{x_2+x_3}{2} $，第 75 百分位数是 $ \displaystyle\frac{x_6+x_7}{2} $．  

A 选项错误，例如 $ 1,1,3,3,3,4,4,5 $ 满足第 25 百分位数是 2，极差为 $ 5-1=4 $，但没有出现点数 6．  

C 选项错误，例如 $ 1,1,1,3,3,5,5,5 $ 平均数为 3，方差为 3．  

B 选项正确，由于 $ \displaystyle\frac{x_6+x_7}{2}=3.5 $，则必有 $ x_6=3,x_7=4 $．（反证法）若没有出现 6，则  
$$
\begin{aligned}
\frac{1}{8}(x_1+x_2+\cdots+x_8) &= \frac{1}{8}\bigl[(x_1+\cdots+x_6)+(x_7+x_8)\bigr] \\
&\leq \frac{1}{8}\bigl(3\times 6+4+5\bigr) \\
&= \frac{27}{8} < \frac{28}{8} = 3.5
\end{aligned}
$$  
所以平均数不可能是 3.5，矛盾，因此一定出现点数 6．出现点数 6 且满足选项条件的一种情况是 $ 2,2,3,3,3,4,5,6 $．  

D 选项正确，由题意，平均数 $ \bar{x}=4.75 $．（反证法）如果没有出现 6，记 4 的个数为 $ m $，5 的个数为 $ n $，由于平均数是 4.75，所以去掉小于 4 的数之后，平均数肯定不会变小．利用 $ m\geq n $，可得  
$$
\begin{aligned}
\bar{x} &\leq \frac{1}{m+n}(4m+5n) \\
&= 4+\frac{n}{m+n} \\
&\leq 4+\frac{n}{n+n} = 4.5,
\end{aligned}
$$  
这与 $ \bar{x}=4.75 $ 矛盾．于是一定出现点数 6，出现点数 6 且满足选项条件的一种情况是 $ 4,4,4,4,4,6,6,6 $．"
814,2025-XS-Fiddie联盟模拟测试-8-概率,概率\2025\2025-XS-Fiddie联盟模拟测试-8-概率.tex,2025,XS,Fiddie联盟模拟测试,8,概率,,否,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设随机变量 $ X $ 服从正态分布 $ N(0,1) $. 已知部分小概率值和相应的临界值如下表:
\begin{center}
\begin{tabular}{|c|c|c|c|c|c|c|}
  \hline
$ \alpha $ & $ 2.706 $ & $ 3.841 $ & $ 5.024 $ & $ 6.635 $ & $ 7.879 $ & $ 10.828 $ \\
\hline
$ P(X^2 \geqslant \alpha) $ & $ 0.1 $ & $ 0.05 $ & $ 0.025 $ & $ 0.01 $ & $ 0.005 $ & $ 0.001 $ \\\hline
\end{tabular}
\end{center}
若实数 $ m $ 满足 $ P(m \leqslant X < 3) = 0.025 $，则 (\hspace{1cm})
\begin{choices}
\choice{{A. $ 2.706 < m^2 < 3.841 $}}
\choice{{B. $ 3.841 < m^2 < 5.024 $}}
\choice{{C. $ 5.024 < m^2 < 6.635 $}}
\choice{{D. $ 6.635 < m^2 < 7.879 $}}
\end{choices}",A,"根据正态分布的对称性，
$ P(0 \leqslant X < 3) = \dfrac{1}{2}P(-3 \leqslant X < 3) = \dfrac{1}{2}P(X^2 < 9) > \dfrac{1}{2}P(X^2 < 7.879) = 0.4975 $，
而 $ P(m \leqslant X < 3) < P(0 \leqslant X < 3) $，所以 $ m > 0 $.

再根据正态分布的对称性可知
\begin{align*}
P(m^2 \leqslant X^2 < 9) &= P(m \leqslant X < 3) + P(-3 < X \leqslant -m) \\
&= 2 \times P(m \leqslant X < 3) = 0.05 .
\end{align*}
由表可知 $ 0.001 < P(X^2 \geqslant 9) < 0.005 $.
所以 $ P(X^2 \geqslant m^2) = P(m^2 \leqslant X^2 < 9) + P(X^2 \geqslant 9) \in (0.051, 0.055) $.
因为 $ P(X^2 \geqslant 2.706) = 0.1 > P(X^2 \geqslant m^2) > 0.05 = P(X^2 \geqslant 3.841) $，而函数 $ f(\alpha) = P(X^2 \geqslant \alpha) $ 单调递减，所以 $ 2.706 < m^2 < 3.841 $. 故选 A.

【易错警示】 如果误认为 $ P(m^2 \leqslant X^2 < 9) = 0.025 $，就会得到 $ P(X^2 \geqslant m^2) \in (0.026, 0.03) $，从而错选 B. 也有可能因为得到 $ P(X^2 \geqslant m^2) \in (0.02, 0.024) $ 从而错选 C；因为得到 $ P(X^2 \geqslant m^2) \in (0.045, 0.049) $ 从而错选 B. 预计本题错选 B 的占 $ 40\% $，错选 C 的占 $ 20\% $."
834,2014-W-京都大学（理）-3-解三角形,解三角形\2014\2014-W-京都大学（理）-3-解三角形.tex,2014,W,京都大学（理）,3,解三角形,,否,解答题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,设三角形 $ ABC $ 满足 $ \angle B = 2\angle A $，$ BC = 1 $．当三角形 $ ABC $ 的面积最大时，求 $ \cos\angle B $ 的大小．,$ \dfrac{\sqrt{33}-1}{8} $,"利用正弦定理求出 $ AB $，接着求面积

$$
\dfrac{\sin A}{BC} = \dfrac{\sin C}{AB}
$$

带入角的关系，以及 $ BC = 1 $，有$\sin A = \dfrac{\sin 3A}{AB}$

$$
AB = \dfrac{\sin 3A}{\sin A} = \dfrac{3\sin A - 4\sin^3 A}{\sin A} = 3 - 4\sin^2 A
$$

$$
S_{\triangle ABC} = \dfrac{1}{2} \cdot 1 \cdot (3 - 4\sin^2 A) \cdot \sin 2A
= \dfrac{1}{2} \cdot (1 + 2\cos 2A) \cdot \sin 2A
= \dfrac{1}{2}(1 + 2\cos B)\sqrt{1 - \cos^2 B}
$$

设 $ \cos B = t $，也就是求 $ (1 + 2t)\sqrt{1 - t^2} $ 取最值时的 $ t $ 的大小

求导可得

$$
\left[(1 + 2t)\sqrt{1 - t^2}\right]' = 2\sqrt{1 - t^2} - \dfrac{t(1 + 2t)}{\sqrt{1 - t^2}} = \dfrac{2 - t^2 - t - 2t^2}{\sqrt{1 - t^2}}
$$

当这个为 $ 0 $ 时，也就是分子 $ -4t^2 - t + 2 = 0 $.

考虑到三角函数的值域，解得 $ t = \cos B = \dfrac{\sqrt{33} - 1}{8} $.

讨论函数的增减，可以知道 $ \cos B = \dfrac{\sqrt{33} - 1}{8} $ 时取得最大值．"
